City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Laguna,US,38.421,-121.4238,89.58,30,0,11.5,clear sky
161,Banamba,ML,13.55,-7.45,83.32,56,100,2.53,light rain
162,Churapcha,RU,62.0025,132.4325,77.31,55,100,4.47,overcast clouds
163,Los Andes,CL,-32.8337,-70.5983,48.0,86,100,3.18,overcast clouds
164,Kahului,US,20.8947,-156.47,86.02,69,20,29.93,few clouds
165,Denpasar,ID,-8.65,115.2167,82.06,78,20,17.27,few clouds
166,Nago,JP,26.5881,127.9761,82.45,74,100,7.02,overcast clouds
167,Sar-E Pul,AF,35.8333,66.1667,69.33,28,0,0.76,clear sky
168,Aleysk,RU,52.4926,82.7822,63.86,48,65,6.35,broken clouds
169,Tiksi,RU,71.6872,128.8694,42.12,87,92,8.59,overcast clouds
170,Evensk,RU,61.95,159.2333,59.27,78,15,9.86,few clouds
171,Ancud,CL,-41.8697,-73.8203,41.23,89,100,10.85,overcast clouds
172,Kropotkin,RU,45.4375,40.5756,64.8,69,24,5.93,few clouds
173,Ossora,RU,59.2353,163.0719,71.01,71,47,6.8,scattered clouds
174,Lebu,CL,-37.6167,-73.65,42.1,87,21,8.12,few clouds
175,Nantucket,US,41.2835,-70.0995,73.51,93,0,4.61,clear sky
176,Almaznyy,RU,48.0448,40.045,63.3,52,0,9.82,clear sky
177,Richards Bay,ZA,-28.783,32.0377,60.3,38,0,3.6,clear sky
178,Iqaluit,CA,63.7506,-68.5145,42.53,81,75,4.61,broken clouds
179,Provins,FR,48.5833,3.1667,65.52,53,98,2.57,overcast clouds
180,Lompoc,US,34.6391,-120.4579,70.79,80,100,12.66,overcast clouds
181,Barrow,US,71.2906,-156.7887,42.82,70,40,16.11,scattered clouds
182,Codrington,AU,-38.2667,141.9667,53.64,70,100,6.17,overcast clouds
183,Naze,JP,28.3667,129.4833,86.92,73,99,10.16,overcast clouds
184,Carupano,VE,10.6678,-63.2585,76.15,89,15,7.76,few clouds
185,Nishihara,JP,26.1842,127.7558,87.08,84,75,6.91,broken clouds
186,Fort Nelson,CA,58.8053,-122.7002,63.99,52,75,6.91,broken clouds
187,Ahipara,NZ,-35.1667,173.1667,55.89,96,100,14.27,overcast clouds
188,Dalianwan,CN,39.0286,121.695,84.24,65,0,6.71,clear sky
189,Bonfim,BR,3.0833,-59.95,76.46,86,95,5.03,overcast clouds
190,Kiboga,UG,0.9161,31.7742,61.02,68,98,2.39,overcast clouds
191,Alofi,NU,-19.0595,-169.9187,80.49,65,75,14.97,broken clouds
